SAMPLEMONTH,SAMPLEDAY,STARTFL,ENDFL,LENGTHRUN
12,8,172,270,F
12,9,174,270,F
12,10,175,270,F
12,11,176,270,F
12,12,177,270,F
12,13,178,270,F
12,14,179,270,F
12,15,181,270,F
12,16,182,270,F
12,17,183,270,F
12,18,184,270,F
12,19,185,270,F
12,20,187,270,F
12,21,188,270,F
12,22,189,270,F
12,23,190,270,F
12,24,192,270,F
12,25,193,270,F
12,26,194,270,F
12,27,195,270,F
12,28,197,270,F
12,29,198,270,F
12,30,199,270,F
12,31,201,270,F
1,1,202,270,F
1,2,203,270,F
1,3,205,270,F
1,4,206,270,F
1,5,207,270,F
1,6,209,270,F
1,7,210,270,F
1,8,211,270,F
1,9,213,270,F
1,10,214,270,F
1,11,216,270,F
1,12,217,270,F
1,13,218,270,F
1,14,220,270,F
1,15,221,270,F
1,16,223,270,F
1,17,224,270,F
1,18,226,270,F
1,19,227,270,F
1,20,229,270,F
1,21,230,270,F
1,22,232,270,F
1,23,233,270,F
1,24,235,270,F
1,25,236,270,F
1,26,238,270,F
1,27,239,270,F
1,28,241,270,F
1,29,243,270,F
1,30,244,270,F
1,31,246,270,F
2,1,247,270,F
2,2,249,270,F
2,3,251,270,F
2,4,252,270,F
2,5,254,270,F
2,6,256,270,F
2,7,257,270,F
2,8,259,270,F
2,9,261,270,F
2,10,262,270,F
2,11,264,270,F
2,12,266,270,F
2,13,268,270,F
2,14,269,270,F
2,15,270,270,F
4,1,0,33,L
4,2,0,33,L
4,3,0,34,L
4,4,0,34,L
4,5,0,34,L
4,6,0,34,L
4,7,0,34,L
4,8,0,35,L
4,9,0,35,L
4,10,0,35,L
4,11,0,35,L
4,12,0,36,L
4,13,0,36,L
4,14,0,36,L
4,15,0,36,L
4,16,0,37,L
4,17,0,37,L
4,18,0,37,L
4,19,0,37,L
4,20,0,38,L
4,21,0,38,L
4,22,0,38,L
4,23,0,38,L
4,24,0,39,L
4,25,0,39,L
4,26,0,39,L
4,27,0,39,L
4,28,0,40,L
4,29,0,40,L
4,30,0,40,L
5,1,0,40,L
5,2,0,41,L
5,3,0,41,L
5,4,0,41,L
5,5,0,41,L
5,6,0,42,L
5,7,0,42,L
5,8,0,42,L
5,9,0,43,L
5,10,0,43,L
5,11,0,43,L
5,12,0,43,L
5,13,0,44,L
5,14,0,44,L
5,15,0,44,L
5,16,0,45,L
5,17,0,45,L
5,18,0,45,L
5,19,0,45,L
5,20,0,46,L
5,21,0,46,L
5,22,0,46,L
5,23,0,47,L
5,24,0,47,L
5,25,0,47,L
5,26,0,48,L
5,27,0,48,L
5,28,0,48,L
5,29,0,49,L
5,30,0,49,L
5,31,0,49,L
6,1,0,50,L
6,2,0,50,L
6,3,0,50,L
6,4,0,50,L
6,5,0,51,L
6,6,0,51,L
6,7,0,51,L
6,8,0,52,L
6,9,0,52,L
6,10,0,53,L
6,11,0,53,L
6,12,0,53,L
6,13,0,54,L
6,14,0,54,L
6,15,0,54,L
6,16,0,55,L
6,17,0,55,L
6,18,0,55,L
6,19,0,56,L
6,20,0,56,L
6,21,0,56,L
6,22,0,57,L
6,23,0,57,L
6,24,0,58,L
6,25,0,58,L
6,26,0,58,L
6,27,0,59,L
6,28,0,59,L
6,29,0,59,L
6,30,0,60,L
7,1,33,60,L
7,2,33,61,L
7,3,34,61,L
7,4,34,61,L
7,5,34,62,L
7,6,34,62,L
7,7,34,63,L
7,8,35,63,L
7,9,35,64,L
7,10,35,64,L
7,11,35,64,L
7,12,36,65,L
7,13,36,65,L
7,14,36,66,L
7,15,36,66,L
7,16,37,67,L
7,17,37,67,L
7,18,37,67,L
7,19,37,68,L
7,20,38,68,L
7,21,38,69,L
7,22,38,69,L
7,23,38,70,L
7,24,39,70,L
7,25,39,71,L
7,26,39,71,L
7,27,39,72,L
7,28,40,72,L
7,29,40,72,L
7,30,40,73,L
7,31,40,73,L
8,1,41,74,L
8,2,41,74,L
8,3,41,75,L
8,4,41,75,L
8,5,42,76,L
8,6,42,76,L
8,7,42,77,L
8,8,43,77,L
8,9,43,78,L
8,10,43,78,L
8,11,43,79,L
8,12,44,79,L
8,13,44,80,L
8,14,44,80,L
8,15,45,81,L
8,16,45,82,L
8,17,45,82,L
8,18,45,83,L
8,19,46,83,L
8,20,46,84,L
8,21,46,84,L
8,22,47,85,L
8,23,47,85,L
8,24,47,86,L
8,25,48,87,L
8,26,48,87,L
8,27,48,88,L
8,28,49,88,L
8,29,49,89,L
8,30,49,89,L
8,31,50,90,L
9,1,50,91,L
9,2,50,91,L
9,3,50,92,L
9,4,51,92,L
9,5,51,93,L
9,6,51,94,L
9,7,52,94,L
9,8,52,95,L
9,9,53,95,L
9,10,53,96,L
9,11,53,97,L
9,12,54,97,L
9,13,54,98,L
9,14,54,99,L
9,15,55,99,L
9,16,55,100,L
9,17,55,101,L
9,18,56,101,L
9,19,56,102,L
9,20,56,103,L
9,21,57,103,L
9,22,57,104,L
9,23,58,105,L
9,24,58,105,L
9,25,58,106,L
9,26,59,107,L
9,27,59,107,L
9,28,59,108,L
9,29,60,109,L
9,30,60,110,L
10,1,61,110,L
10,2,61,111,L
10,3,61,112,L
10,4,62,112,L
10,5,62,113,L
10,6,63,114,L
10,7,63,115,L
10,8,64,115,L
10,9,64,116,L
10,10,64,117,L
10,11,65,118,L
10,12,65,119,L
10,13,66,119,L
10,14,66,120,L
10,15,67,121,L
10,16,67,122,L
10,17,67,123,L
10,18,68,123,L
10,19,68,124,L
10,20,69,125,L
10,21,69,126,L
10,22,70,127,L
10,23,70,127,L
10,24,71,128,L
10,25,71,129,L
10,26,72,130,L
10,27,72,131,L
10,28,72,132,L
10,29,73,133,L
10,30,73,133,L
10,31,74,134,L
11,1,74,135,L
11,2,75,136,L
11,3,75,137,L
11,4,76,138,L
11,5,76,139,L
11,6,77,140,L
11,7,77,141,L
11,8,78,142,L
11,9,78,143,L
11,10,79,143,L
11,11,79,144,L
11,12,80,145,L
11,13,80,146,L
11,14,81,147,L
11,15,82,148,L
11,16,82,149,L
11,17,83,150,L
11,18,83,151,L
11,19,84,152,L
11,20,84,153,L
11,21,85,154,L
11,22,85,155,L
11,23,86,156,L
11,24,87,157,L
11,25,87,158,L
11,26,88,159,L
11,27,88,160,L
11,28,89,161,L
11,29,89,163,L
11,30,90,164,L
12,1,91,165,L
12,2,91,166,L
12,3,92,167,L
12,4,92,168,L
12,5,93,169,L
12,6,94,170,L
12,7,94,171,L
12,8,95,172,L
12,9,95,174,L
12,10,96,175,L
12,11,97,176,L
12,12,97,177,L
12,13,98,178,L
12,14,99,179,L
12,15,99,181,L
12,16,100,182,L
12,17,101,183,L
12,18,101,184,L
12,19,102,185,L
